S/N,Forest Id,Tree Species,Family,Dbh(cm),Db(m),Dm(m),Dt(m),Ht(m),Density,Plot Id
1,1,Lecaniodiscus cupanioides,Sapindaceae,10.2,0.18,0.11,0.02,6.8,0.43,Plot 1_1
2,1,Lecaniodiscus cupanioides,Sapindaceae,9,0.1,0.06,0.03,5.8,0.43,Plot 1_1
3,1,Boscia angustifolia,Capparaceae,26.3,0.39,0.18,0.07,16.5,0.59,Plot 1_1
4,1,Boscia angustifolia,Capparaceae,32,0.31,0.18,0.1,19.5,0.59,Plot 1_1
5,1,Milicia excelsa,Moraceae,112,1.12,0.82,0.3,28,0.59,Plot 1_1
6,1,Cola nitida,Malvaceae,30.5,0.37,0.22,0.08,17,0.66,Plot 1_1
7,1,Sterculia tragacantha,Malvaceae,25.3,0.31,0.19,0.1,14.8,0.48,Plot 1_1
8,1,Hunteria umbellate ,Apocynaceae,17,0.23,0.16,0.06,14,0.72,Plot 1_1
9,1,Boscia angustifolia,Capparaceae,16,0.2,0.17,0.09,16,0.59,Plot 1_1
10,1,Pycnanthus angolensis,Myristicaceae,33.2,0.36,0.17,0.05,16.8,0.44,Plot 1_1
11,1,Boscia angustifolia,Capparaceae,38.4,0.45,0.24,0.1,17.8,0.59,Plot 1_1
12,1,Funtumia elastica,Apocynaceae,12.5,0.15,0.11,0.04,12.1,0.51,Plot 1_1
13,1,Celtis zenkeri,Cannabaceae,28.6,0.3,0.22,0.11,15.9,0.65,Plot 1_1
14,1,Boscia angustifolia,Capparaceae,26.1,0.33,0.22,0.09,16.2,0.59,Plot 1_1
15,1,Funtumia elastica,Apocynaceae,17.6,0.2,0.15,0.08,15.9,0.51,Plot 1_1
16,1,Pausinystalia brachythyrsa,Rubiaceae,50.1,0.5,0.24,0.11,23,0.6,Plot 1_1
17,1,Cordia africana,Boraginaceae,28.5,0.35,0.18,0.1,15.5,0.47,Plot 1_1
18,1,Boscia angustifolia,Capparaceae,54.5,0.55,0.38,0.16,15.9,0.59,Plot 1_1
19,1,Funtumia elastica,Apocynaceae,24.8,0.26,0.2,0.07,18.9,0.51,Plot 1_1
20,1,Diospyros crassiflora ,Ebenaceae,16.5,0.17,0.08,0.01,4.8,0.9,Plot 1_1
21,1,Pycnanthus angolensis,Myristicaceae,75.5,0.85,0.48,0.18,18.5,0.44,Plot 1_2
22,1,Entandrophragma angolense,Meliaceae,39,0.41,0.19,0.14,26.8,0.58,Plot 1_2
23,1,Cordia millenii,Boraginaceae,33.4,0.36,0.23,0.09,14.2,0.52,Plot 1_2
24,1,Phyllanthus discoides,Euphorbiaceae,52,0.58,0.41,0.19,18,0.75,Plot 1_2
25,1,Pycnanthus angolensis,Myristicaceae,11.8,0.14,0.1,0.03,11,0.44,Plot 1_2
26,1,Pausinystalia brachythyrsa,Rubiaceae,11.1,0.12,0.08,0.02,11,0.6,Plot 1_2
27,1,Pycnanthus angolensis,Myristicaceae,11.1,0.14,0.07,0.01,9.5,0.44,Plot 1_2
28,1,Alstonia boonei,Apocynaceae,44.3,0.53,0.4,0.17,21,0.37,Plot 1_2
29,1,Pycnanthus angolensis,Myristicaceae,12.6,0.15,0.1,0.03,9,0.44,Plot 1_2
30,1,Pycnanthus angolensis,Myristicaceae,25.6,0.32,0.16,0.07,14.8,0.44,Plot 1_2
31,1,Diospyros monbuttensis,Ebenaceae,26,0.29,0.25,0.08,14.5,0.9,Plot 1_2
32,1,Boscia angustifolia,Capparaceae,15.3,0.21,0.16,0.05,11,0.59,Plot 1_2
33,1,Celtis zenkeri,Cannabaceae,12.9,0.15,0.11,0.02,9.5,0.65,Plot 1_2
34,1,Sterculia rhinopetala,Malvaceae,10.5,0.14,0.08,0.02,14.5,0.64,Plot 1_2
35,1,Pycnanthus angolensis,Myristicaceae,38.4,0.42,0.2,0.15,22.5,0.44,Plot 1_2
36,1,Ricinodendron heudelotii,Euphorbiaceae,20.5,0.27,0.1,0.03,11.8,0.22,Plot 1_2
37,1,Sterculia rhinopetala,Malvaceae,15.5,0.2,0.18,0.07,14,0.64,Plot 1_2
38,1,Pycnanthus angolensis,Myristicaceae,42.9,0.49,0.34,0.12,16.5,0.44,Plot 1_2
39,1,Hunteria umbellate ,Apocynaceae,18,0.18,0.13,0.05,12.5,0.72,Plot 1_2
40,1,Cordia millenii,Boraginaceae,13.6,0.18,0.12,0.03,9.8,0.52,Plot 1_2
41,1,Nauclea diderrichii,Rubiaceae,22.2,0.3,0.24,0.08,16.5,0.69,Plot 1_3
42,1,Desplatsia dewevrei,Malvaceae,15,0.15,0.11,0.03,11.2,0.62,Plot 1_3
43,1,Desplatsia dewevrei,Malvaceae,19.3,0.19,0.14,0.03,11.8,0.62,Plot 1_3
44,1,Cleistopholis patens,Annonaceae,16.6,0.18,0.16,0.05,13.8,0.37,Plot 1_3
45,1,Khaya grandifoliola,Meliaceae,9.3,0.12,0.07,0.01,5.6,0.62,Plot 1_3
46,1,Boscia angustifolia,Capparaceae,20.2,0.27,0.18,0.06,14.8,0.59,Plot 1_3
47,1,Boscia angustifolia,Capparaceae,23.5,0.28,0.18,0.09,23.5,0.59,Plot 1_3
48,1,Cordia africana,Boraginaceae,20.6,0.23,0.14,0.05,13.8,0.47,Plot 1_3
49,1,Milicia excelsa,Moraceae,27.9,0.33,0.2,0.09,17.8,0.59,Plot 1_3
50,1,Boscia angustifolia,Capparaceae,17.2,0.23,0.14,0.05,13,0.59,Plot 1_3
51,1,Cleistopholis patens,Annonaceae,56.9,0.73,0.45,0.15,23.5,0.37,Plot 1_3
52,1,Myrianthus arboreus,Urticaceae,12.2,0.15,0.08,0.03,5.8,0.43,Plot 1_3
53,1,Cola gigantea,Malvaceae,21.8,0.28,0.17,0.08,14.9,0.54,Plot 1_3
54,1,Khaya grandifoliola,Meliaceae,11,0.15,0.09,0.03,6,0.62,Plot 1_3
55,1,Pausinystalia brachythyrsa,Rubiaceae,23.8,0.29,0.16,0.05,13.9,0.6,Plot 1_3
56,1,Diospyros monbuttensis,Ebenaceae,21.8,0.27,0.14,0.05,14,0.9,Plot 1_3
57,1,Hunteria umbellate ,Apocynaceae,18.9,0.2,0.13,0.02,11,0.72,Plot 1_3
58,1,Ricinodendron heudelotii,Euphorbiaceae,8,0.85,0.58,0.24,16.5,0.22,Plot 1_3
59,1,Diospyros crassiflora ,Ebenaceae,20.5,0.24,0.16,0.04,11.8,0.9,Plot 1_3
60,1,Diospyros crassiflora ,Ebenaceae,18,0.2,0.15,0.05,12,0.9,Plot 1_3
61,1,Hunteria umbellate ,Apocynaceae,16.5,0.19,0.14,0.02,9,0.72,Plot 1_3
62,1,Celtis zenkeri,Cannabaceae,13.2,0.19,0.11,0.03,11,0.65,Plot 1_3
63,1,Hunteria umbellate ,Apocynaceae,13.9,0.17,0.1,0.02,11,0.72,Plot 1_3
64,1,Drypetes paxii ,Putranjivaceae,15,0.18,0.11,0.03,9.8,0.66,Plot 1_3
65,1,Khaya grandifoliola,Meliaceae,12.1,0.16,0.06,0.02,8.5,0.62,Plot 1_3
66,1,Zanthoxylum zanthoxyloides,Rutaceae,12.5,0.18,0.06,0.01,8,0.59,Plot 1_3
67,1,Boscia angustifolia,Capparaceae,15.4,0.19,0.14,0.04,9.9,0.59,Plot1_4
68,1,Hunteria umbellate ,Apocynaceae,19.4,0.23,0.14,0.03,12,0.72,Plot1_4
69,1,Boscia angustifolia,Capparaceae,42,0.42,0.19,0.05,16.5,0.59,Plot1_4
70,1,Celtis zenkeri,Cannabaceae,21.1,0.24,0.16,0.04,13.5,0.65,Plot1_4
71,1,Afzelia africana,Fabaceae,98,1.05,0.58,0.25,18.9,0.67,Plot1_4
72,1,Funtumia elastica,Apocynaceae,19.5,0.22,0.15,0.04,11.8,0.51,Plot1_4
73,1,Strombosia pustulata,Olacaceae,27,0.34,0.14,0.03,13.5,0.83,Plot1_4
74,1,Afzelia africana,Fabaceae,125,1.24,0.85,0.16,28,0.67,Plot1_4
75,1,Bridelia micrantha,Phyllanthaceae,18.5,0.29,0.16,0.05,8.5,0.47,Plot1_4
76,1,Bridelia micrantha,Phyllanthaceae,56,0.56,0.21,0.08,12,0.47,Plot1_4
77,1,Bridelia micrantha,Phyllanthaceae,13.8,0.16,0.1,0.02,10,0.47,Plot1_4
78,1,Bridelia micrantha,Phyllanthaceae,20.7,0.25,0.14,0.06,17.5,0.47,Plot1_4
79,1,Ceiba pentandra,Malvaceae,115,1.15,0.8,0.24,28.5,0.3,Plot1_4
80,1,Celtis zenkeri,Cannabaceae,11.5,0.13,0.82,0.01,7.5,0.65,Plot1_4
81,1,Celtis zenkeri,Cannabaceae,56.5,0.57,0.34,0.17,28,0.65,Plot1_4
82,1,Celtis zenkeri,Cannabaceae,18.8,0.25,0.12,0.02,14.8,0.65,Plot1_4
83,1,Celtis zenkeri,Cannabaceae,25.4,0.34,0.16,0.09,16.8,0.65,Plot1_4
84,1,Celtis zenkeri,Cannabaceae,49.5,0.5,0.28,0.18,24.5,0.65,Plot1_4
85,1,Chrysophyllum perpulchrum,Sapotaceae,38.4,0.58,0.16,0.06,22,0.68,Plot1_4
86,1,Cola gigantea,Malvaceae,22.5,0.25,0.21,0.09,6.7,0.54,Plot1_4
87,1,Cola millenii,Malvaceae,20,0.31,0.16,0.08,14.5,0.77,Plot1_4
88,1,Cola millenii,Malvaceae,12.8,0.15,0.09,0.03,5.8,0.77,Plot1_5
89,1,Daniellia ogea,Fabaceae,53.3,0.55,0.25,0.14,24,0.31,Plot1_5
90,1,Drypetes paxii ,Putranjivaceae,13.4,0.17,0.08,0.03,5,0.66,Plot1_5
91,1,Entandrophragma angolense,Meliaceae,52.6,0.71,0.28,0.15,26,0.58,Plot1_5
92,1,Hunteria umbellate ,Apocynaceae,21,0.29,0.14,0.03,7,0.72,Plot1_5
93,1,Hunteria umbellate ,Apocynaceae,13.8,0.16,0.13,0.05,8.5,0.72,Plot1_5
94,1,Pausinystalia brachythyrsa,Rubiaceae,105,1.05,0.65,0.19,29,0.6,Plot1_5
